report_date,category,revenue
04/06/2022,Western Dress,205653.0
04/06/2022,kurta,571978.0
05/06/2022,Blouse,6868.0
05/06/2022,Bottom,1484.0
05/06/2022,Ethnic Dress,25657.0
05/06/2022,Saree,5741.0
05/06/2022,Set,863267.0
05/06/2022,Top,95967.0
05/06/2022,Western Dress,168370.0
05/06/2022,kurta,668773.0
06/06/2022,Blouse,8031.0
06/06/2022,Bottom,1080.0
06/06/2022,Ethnic Dress,26423.0
06/06/2022,Saree,5741.0
06/06/2022,Set,952902.0
06/06/2022,Top,106508.0
06/06/2022,Western Dress,194144.0
06/06/2022,kurta,694994.0
07/06/2022,Blouse,8188.0
07/06/2022,Bottom,1030.0
07/06/2022,Ethnic Dress,27073.0
07/06/2022,Saree,3295.0
07/06/2022,Set,968168.0
07/06/2022,Top,114635.0
07/06/2022,Western Dress,215732.0
07/06/2022,kurta,668067.0
08/06/2022,Blouse,13139.0
08/06/2022,Bottom,935.0
08/06/2022,Ethnic Dress,18677.0
08/06/2022,Set,945145.0
08/06/2022,Top,128819.0
08/06/2022,Western Dress,238420.0
08/06/2022,kurta,619987.0
09/06/2022,Blouse,12109.0
09/06/2022,Bottom,935.0
09/06/2022,Ethnic Dress,22763.0
09/06/2022,Saree,898.0
09/06/2022,Set,902511.0
09/06/2022,Top,152608.0
09/06/2022,Western Dress,256882.0
09/06/2022,kurta,625773.0
10/06/2022,Blouse,10446.0
10/06/2022,Bottom,1236.0
10/06/2022,Ethnic Dress,22185.0
10/06/2022,Saree,898.0
10/06/2022,Set,815667.0
10/06/2022,Top,153493.0
10/06/2022,Western Dress,281514.0
10/06/2022,kurta,589258.0
11/06/2022,Blouse,8751.0
11/06/2022,Bottom,2097.0
11/06/2022,Ethnic Dress,26246.0
11/06/2022,Saree,2539.0
11/06/2022,Set,787576.0
11/06/2022,Top,157935.0
11/06/2022,Western Dress,276443.0
11/06/2022,kurta,565704.0
12/06/2022,Blouse,7716.0
12/06/2022,Bottom,2097.0
12/06/2022,Ethnic Dress,25339.0
12/06/2022,Saree,2413.0
12/06/2022,Set,793084.0
12/06/2022,Top,179351.0
12/06/2022,Western Dress,269942.0
12/06/2022,kurta,539825.0
13/06/2022,Blouse,11357.0
13/06/2022,Bottom,2013.0
13/06/2022,Ethnic Dress,27286.0
13/06/2022,Saree,3957.0
13/06/2022,Set,824265.0
13/06/2022,Top,195608.0
13/06/2022,Western Dress,245068.0
13/06/2022,kurta,551915.0
14/06/2022,Blouse,10901.0
14/06/2022,Bottom,518.0
14/06/2022,Ethnic Dress,28515.0
14/06/2022,Saree,3053.0
14/06/2022,Set,858288.0
14/06/2022,Top,193029.0
14/06/2022,Western Dress,247320.0
14/06/2022,kurta,557475.0
15/06/2022,Blouse,14424.0
15/06/2022,Bottom,1036.0
15/06/2022,Ethnic Dress,26285.0
15/06/2022,Saree,3696.0
15/06/2022,Set,845480.0
15/06/2022,Top,152964.0
15/06/2022,Western Dress,225281.0
15/06/2022,kurta,507161.0
16/06/2022,Blouse,13186.0
16/06/2022,Bottom,1524.0
16/06/2022,Ethnic Dress,19855.0
16/06/2022,Saree,2152.0
16/06/2022,Set,842844.0
16/06/2022,Top,129675.0
16/06/2022,Western Dress,216698.0
16/06/2022,kurta,495536.0
17/06/2022,Blouse,9566.0
17/06/2022,Bottom,2042.0
17/06/2022,Ethnic Dress,18476.0
17/06/2022,Saree,2300.0
17/06/2022,Set,785980.0
17/06/2022,Top,108346.0
17/06/2022,Western Dress,177144.0
17/06/2022,kurta,446301.0
18/06/2022,Blouse,6356.0
18/06/2022,Bottom,2674.0
18/06/2022,Ethnic Dress,17227.0
18/06/2022,Saree,1544.0
